rating,date,variation,verified_reviews,feedback,lower_text,remove_punc,remove_emoji,tokenized_string,remove_stopword
5,31-Jul-18,Charcoal Fabric,Love my Echo!,1,love my echo!,love my echo,love my echo,"['love', 'my', 'echo']",love echo
5,31-Jul-18,Charcoal Fabric,Loved it!,1,loved it!,loved it,loved it,"['loved', 'it']",loved
4,31-Jul-18,Walnut Finish,"Sometimes while playing a game, you can answer a question correctly but Alexa says you got it wrong and answers the same as you.  I like being able to turn lights on and off while away from home.",1,"sometimes while playing a game, you can answer a question correctly but alexa says you got it wrong and answers the same as you.  i like being able to turn lights on and off while away from home.",sometimes while playing a game you can answer a question correctly but alexa says you got it wrong and answers the same as you  i like being able to turn lights on and off while away from home,sometimes while playing a game you can answer a question correctly but alexa says you got it wrong and answers the same as you  i like being able to turn lights on and off while away from home,"['sometimes', 'while', 'playing', 'a', 'game', 'you', 'can', 'answer', 'a', 'question', 'correctly', 'but', 'alexa', 'says', 'you', 'got', 'it', 'wrong', 'and', 'answers', 'the', 'same', 'as', 'you', 'i', 'like', 'being', 'able', 'to', 'turn', 'lights', 'on', 'and', 'off', 'while', 'away', 'from', 'home']",sometimes playing game answer question correctly alexa says got wrong answers like able turn lights away home
5,31-Jul-18,Charcoal Fabric,"I have had a lot of fun with this thing. My 4 yr old learns about dinosaurs, i control the lights and play games like categories. Has nice sound when playing music as well.",1,"i have had a lot of fun with this thing. my 4 yr old learns about dinosaurs, i control the lights and play games like categories. has nice sound when playing music as well.",i have had a lot of fun with this thing my 4 yr old learns about dinosaurs i control the lights and play games like categories has nice sound when playing music as well,i have had a lot of fun with this thing my 4 yr old learns about dinosaurs i control the lights and play games like categories has nice sound when playing music as well,"['i', 'have', 'had', 'a', 'lot', 'of', 'fun', 'with', 'this', 'thing', 'my', '4', 'yr', 'old', 'learns', 'about', 'dinosaurs', 'i', 'control', 'the', 'lights', 'and', 'play', 'games', 'like', 'categories', 'has', 'nice', 'sound', 'when', 'playing', 'music', 'as', 'well']",lot fun thing 4 yr old learns dinosaurs control lights play games like categories nice sound playing music well
5,31-Jul-18,Charcoal Fabric,Music,1,music,music,music,['music'],music
5,31-Jul-18,Heather Gray Fabric,"I received the echo as a gift. I needed another Bluetooth or something to play music easily accessible, and found this smart speaker. Can’t wait to see what else it can do.",1,"i received the echo as a gift. i needed another bluetooth or something to play music easily accessible, and found this smart speaker. can’t wait to see what else it can do.",i received the echo as a gift i needed another bluetooth or something to play music easily accessible and found this smart speaker can’t wait to see what else it can do,i received the echo as a gift i needed another bluetooth or something to play music easily accessible and found this smart speaker can’t wait to see what else it can do,"['i', 'received', 'the', 'echo', 'as', 'a', 'gift', 'i', 'needed', 'another', 'bluetooth', 'or', 'something', 'to', 'play', 'music', 'easily', 'accessible', 'and', 'found', 'this', 'smart', 'speaker', 'can', 't', 'wait', 'to', 'see', 'what', 'else', 'it', 'can', 'do']",received echo gift needed another bluetooth something play music easily accessible found smart speaker can’t wait see else
3,31-Jul-18,Sandstone Fabric,"Without having a cellphone, I cannot use many of her features. I have an iPad but do not see that of any use.  It IS a great alarm.  If u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.It is fun to ask random questions to hear her response.  She does not seem to be very smartbon politics yet.",1,"without having a cellphone, i cannot use many of her features. i have an ipad but do not see that of any use.  it is a great alarm.  if u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.it is fun to ask random questions to hear her response.  she does not seem to be very smartbon politics yet.",without having a cellphone i cannot use many of her features i have an ipad but do not see that of any use  it is a great alarm  if u r almost deaf you can hear her alarm in the bedroom from out in the living room so that is reason enough to keep herit is fun to ask random questions to hear her response  she does not seem to be very smartbon politics yet,without having a cellphone i cannot use many of her features i have an ipad but do not see that of any use  it is a great alarm  if u r almost deaf you can hear her alarm in the bedroom from out in the living room so that is reason enough to keep herit is fun to ask random questions to hear her response  she does not seem to be very smartbon politics yet,"['without', 'having', 'a', 'cellphone', 'i', 'cannot', 'use', 'many', 'of', 'her', 'features', 'i', 'have', 'an', 'ipad', 'but', 'do', 'not', 'see', 'that', 'of', 'any', 'use', 'it', 'is', 'a', 'great', 'alarm', 'if', 'u', 'r', 'almost', 'deaf', 'you', 'can', 'hear', 'her', 'alarm', 'in', 'the', 'bedroom', 'from', 'out', 'in', 'the', 'living', 'room', 'so', 'that', 'is', 'reason', 'enough', 'to', 'keep', 'herit', 'is', 'fun', 'to', 'ask', 'random', 'questions', 'to', 'hear', 'her', 'response', 'she', 'does', 'not', 'seem', 'to', 'be', 'very', 'smartbon', 'politics', 'yet']",without cellphone cannot use many features ipad see use great alarm u r almost deaf hear alarm bedroom living room reason enough keep herit fun ask random questions hear response seem smartbon politics yet
5,31-Jul-18,Charcoal Fabric,I think this is the 5th one I've purchased. I'm working on getting one in every room of my house. I really like what features they offer specifily playing music on all Echos and controlling the lights throughout my house.,1,i think this is the 5th one i've purchased. i'm working on getting one in every room of my house. i really like what features they offer specifily playing music on all echos and controlling the lights throughout my house.,i think this is the 5th one ive purchased im working on getting one in every room of my house i really like what features they offer specifily playing music on all echos and controlling the lights throughout my house,i think this is the 5th one ive purchased im working on getting one in every room of my house i really like what features they offer specifily playing music on all echos and controlling the lights throughout my house,"['i', 'think', 'this', 'is', 'the', '5th', 'one', 'ive', 'purchased', 'im', 'working', 'on', 'getting', 'one', 'in', 'every', 'room', 'of', 'my', 'house', 'i', 'really', 'like', 'what', 'features', 'they', 'offer', 'specifily', 'playing', 'music', 'on', 'all', 'echos', 'and', 'controlling', 'the', 'lights', 'throughout', 'my', 'house']",think 5th one ive purchased im working getting one every room house really like features offer specifily playing music echos controlling lights throughout house
5,30-Jul-18,Heather Gray Fabric,looks great,1,looks great,looks great,looks great,"['looks', 'great']",looks great
5,30-Jul-18,Heather Gray Fabric,"Love it! I’ve listened to songs I haven’t heard since childhood! I get the news, weather, information! It’s great!",1,"love it! i’ve listened to songs i haven’t heard since childhood! i get the news, weather, information! it’s great!",love it i’ve listened to songs i haven’t heard since childhood i get the news weather information it’s great,love it i’ve listened to songs i haven’t heard since childhood i get the news weather information it’s great,"['love', 'it', 'i', 've', 'listened', 'to', 'songs', 'i', 'haven', 't', 'heard', 'since', 'childhood', 'i', 'get', 'the', 'news', 'weather', 'information', 'it', 's', 'great']",love i’ve listened songs haven’t heard since childhood get news weather information it’s great
